Course,GPA,Year
HTS 3062,3.09 ,2008
HTS 3062,3.25 ,2010
HTS 3062,3.03 ,2011
HTS 3063,3.28 ,2008
HTS 3063,3.57 ,2010
HTS 3063,3.30 ,2011
HTS 3063,3.13 ,2013
HTS 3061,3.00 ,2008
HTS 3061,2.89 ,2010
HTS 3061,3.20 ,2011
HTS 3061,3.32 ,2012
BIOL 4410,3.67 ,2009
BIOL 4410,3.13 ,2012
BIOL 4410,3.00 ,2013
CP 4510,3.12 ,2008
CP 4510,3.17 ,2009
CP 4510,3.46 ,2010
CP 4510,3.11 ,2011
CP 4510,3.57 ,2012
CP 4510,3.55 ,2013
HTS 2040,3.21 ,2012
CEE 4510,3.07 ,2008
CEE 4510,3.49 ,2009
CEE 4510,3.59 ,2010
CEE 4510,3.39 ,2011
CEE 4510,3.09 ,2012
CEE 4510,3.53 ,2013
HTS 3068,3.13 ,2009
HTS 3068,3.84 ,2013
BIOL 4417,3.04 ,2009
BIOL 4417,2.78 ,2011
BIOL 4417,2.82 ,2013
GRMN 4693,3.59 ,2010
GRMN 4693,3.65 ,2011
GRMN 4693,3.68 ,2012
GRMN 4693,3.73 ,2013
PTFE 4020,4.00 ,2008
PTFE 4020,4.00 ,2010
MSE 4803,3.37 ,2008
MSE 4803,3.55 ,2009
MSE 4803,3.55 ,2010
MSE 4803,3.69 ,2011
MSE 4803,3.54 ,2012
MSE 4803,3.60 ,2013
ID 2401,3.67 ,2011
ID 2401,3.91 ,2012
ID 2401,3.75 ,2013
CHBE 3210,2.73 ,2008
CHBE 3210,2.59 ,2009
CHBE 3210,2.51 ,2010
CHBE 3210,2.46 ,2011
CHBE 3210,2.50 ,2012
CHBE 3210,2.73 ,2013
SPAN 3064,3.83 ,2011
SPAN 3064,3.60 ,2012
SPAN 3064,3.80 ,2013
INTA 4901,3.97 ,2008
INTA 4901,3.87 ,2009
INTA 4901,4.00 ,2010
INTA 4901,4.00 ,2011
INTA 4901,4.00 ,2012
INTA 4901,4.00 ,2013
CEE 4600,3.23 ,2008
CEE 4600,3.24 ,2009
CEE 4600,3.32 ,2010
CEE 4600,3.32 ,2011
CEE 4600,3.36 ,2012
CEE 4600,3.21 ,2013
MATH 4108,3.60 ,2008
MATH 4108,3.00 ,2009
MATH 4108,3.17 ,2010
MATH 4108,3.38 ,2011
MATH 4108,3.17 ,2012
MATH 4108,3.50 ,2013
PTFE 4793,3.50 ,2009
PTFE 4793,3.00 ,2010
PTFE 4793,2.00 ,2011
PTFE 4793,3.67 ,2013
MATH 4107,2.85 ,2008
MATH 4107,3.18 ,2009
MATH 4107,3.29 ,2010
MATH 4107,2.69 ,2011
MATH 4107,2.97 ,2012
MATH 4107,3.44 ,2013
JAPN 4901,4.00 ,2013
EAS 4651,3.67 ,2008
EAS 4651,3.00 ,2009
EAS 4651,3.67 ,2010
EAS 4651,3.50 ,2011
EAS 4651,3.50 ,2012
EAS 4651,4.00 ,2013
SPAN 3400,3.50 ,2009
ECE 3020,3.07 ,2012
ECE 3020,2.72 ,2013
NRE 4750,2.60 ,2008
NRE 4750,3.00 ,2009
NRE 4750,3.00 ,2010
NRE 4750,3.17 ,2011
NRE 4750,2.75 ,2012
NRE 4750,3.57 ,2013
ECE 3025,2.77 ,2008
ECE 3025,2.52 ,2009
ECE 3025,2.71 ,2010
ECE 3025,2.76 ,2011
ECE 3025,2.87 ,2012
ECE 3025,2.96 ,2013
PTFE 4776,3.29 ,2008
PTFE 4776,2.94 ,2009
PTFE 4776,2.52 ,2010
PTFE 4776,2.81 ,2011
PTFE 4776,3.25 ,2012
PTFE 4776,3.52 ,2013
PTFE 4777,2.50 ,2009
PTFE 4775,3.17 ,2008
PTFE 4775,3.00 ,2009
PTFE 4775,2.73 ,2010
PTFE 4775,2.33 ,2011
PTFE 4775,2.87 ,2012
PTFE 4775,3.00 ,2013
PST 3113,3.73 ,2008
PST 3113,3.38 ,2009
KOR 4001,3.93 ,2011
KOR 4001,3.91 ,2012
SPAN 3112,3.76 ,2011
ECE 1882,3.53 ,2008
ECE 1882,3.46 ,2009
ECE 1882,3.31 ,2010
ECE 1882,3.52 ,2011
ECE 1882,3.90 ,2012
ECE 1882,3.39 ,2013
SPAN 3111,3.38 ,2010
SPAN 3111,3.73 ,2011
SPAN 3111,3.62 ,2012
SPAN 3111,3.53 ,2013
CS 4251,3.79 ,2008
CS 4251,3.63 ,2011
CS 4251,3.16 ,2012
CS 4251,3.41 ,2013
