course,GPA,A,B,C,D,F,W,semester,year
CS 1371,2.742727273,32.38636364,26.15909091,15.56818182,9.159090909,7.75,9.113636364,Fall,2008
CS 1371,2.785217391,32.60869565,26.13043478,17.23913043,7.304347826,6.847826087,9.97826087,Fall,2009
CS 1371,2.7506,35.84,24.86,13.36,8.3,9.6,8.04,Fall,2010
CS 1371,2.696875,36.14583333,22.14583333,15.20833333,7.708333333,10.95833333,7.8125,Fall,2011
CS 1371,2.986071429,47.67857143,20.07142857,11.64285714,7.071428571,7.428571429,5.964285714,Fall,2012
CS 1371,2.5275,25.925,25.1,21.225,11.075,8.275,8.525,Spring,2008
CS 1371,2.428809524,24,22.85714286,19.52380952,10.73809524,10.54761905,12.52380952,Spring,2009
CS 1371,2.531555556,29.48888889,23.11111111,19.37777778,10.37777778,11.17777778,6.577777778,Spring,2010
CS 1371,2.706,34.8,25,16.95555556,8.888888889,9.244444444,5.044444444,Spring,2011
CS 1371,2.853636364,43.40909091,16.77272727,9.863636364,9.772727273,9.045454545,11.09090909,Spring,2012
CS 1371,2.738636364,37,24.22727273,16.31818182,8.045454545,9.636363636,4.454545455,Spring,2013
CS 1371,2.945,32.75,32.5,18,7.875,1.5,7.625,Summer,2008
CS 1371,2.562,30.5,20.9,21.9,13.5,7.5,5.8,Summer,2009
CS 1371,2.631,31.6,25.2,17.7,11.4,8.4,5.7,Summer,2010
CS 1371,2.734166667,34.58333333,24.91666667,17.16666667,7.5,8.416666667,7.583333333,Summer,2011
CS 1371,2.814285714,36.57142857,23.71428571,15.57142857,7.857142857,7.714285714,8.571428571,Summer,2012
CS 1371,3.01375,43,26.875,15,6.25,5.25,2.875,Summer,2013
CS 1372,2.625714286,26.85714286,27.28571429,21.14285714,11.28571429,6.142857143,7.714285714,Fall,2008
CS 1372,2.5625,19.75,23.25,21.75,5.5,7.5,22.25,Fall,2009
CS 1372,2.5325,27.75,24.5,21.5,8.25,10.75,7.25,Fall,2010
CS 1372,2.753333333,28,29.33333333,25.33333333,8.333333333,3.333333333,6.333333333,Fall,2011
CS 1372,2.76,35.5,23.5,13,12.5,6.5,9.5,Fall,2012
CS 1372,2.665,26.625,30.25,23.125,8.5,6,5.5,Spring,2008
CS 1372,2.323333333,23.44444444,23.22222222,20.44444444,11.11111111,14.33333333,7.777777778,Spring,2009
CS 1372,2.347777778,20.22222222,19.55555556,26.77777778,17,6,10.66666667,Spring,2010
CS 1372,2.5625,23.5,31.75,21.25,9.125,7.875,6.375,Spring,2011
CS 1372,2.98,36.2,36.6,15.8,5.8,3.6,2,Spring,2012
CS 1372,3.33,50,30,0,10,0,10,Spring,2013
CS 1372,2.465,20.5,22,17,14,6,20,Summer,2008
CS 1372,2.375,19.5,22,19.5,8.5,11,19.5,Summer,2009
CS 1372,2.02,16,19,19,21,14,11,Summer,2010
CS 1372,2.83,38,18,24,15,0,5,Summer,2011
CS 1372,2.78,33,25,29,0,8,4,Summer,2012
CS 4793,3.06,41,29,18,0,6,0,Spring,2012
CS 4793,3.31,50,38,6,6,0,0,Summer,2008
CS 4793,3.09,35,39,17,4,0,0,Summer,2010
CS 4240,3.05,31,17,10,3,3,10,Fall,2008
CS 4240,3.41,38,19,4,4,0,23,Fall,2009
CS 4710,3.75,75,25,0,0,0,0,Fall,2008
CS 4710,3,40,40,10,0,10,0,Fall,2009
CS 4710,3.91,83,8,0,0,0,8,Fall,2010
CS 4710,3.55,82,9,0,0,9,0,Fall,2011
CS 4710,4,100,0,0,0,0,0,Fall,2012
CS 4245,3.42,43,36,7,0,0,7,Fall,2009
CS 4245,3.26,29,29,11,0,0,21,Fall,2010
CS 4001,3.38,56,21,13.66666667,2,1,6.333333333,Fall,2008
CS 4001,3.483333333,56,29.33333333,9,1,0,5.333333333,Fall,2009
CS 4001,3.4875,60.25,25.5,2,3,2.75,7.75,Fall,2010
CS 4001,3.515,61.5,27.25,5.75,0,2,3.75,Fall,2011
CS 4001,3.585,67.25,24.75,4,0,1.75,2.5,Fall,2012
CS 4001,3.24,55.66666667,20.33333333,11.66666667,2,5.666666667,4.666666667,Spring,2008
CS 4001,3.47,61.5,22,7.25,0.75,2.5,6,Spring,2009
CS 4001,3.633333333,65.66666667,32,2.333333333,0,0,0,Spring,2010
CS 4001,3.286666667,48.33333333,32.66666667,11,2,2,4.666666667,Spring,2011
CS 4001,3.5875,71,16.5,7.5,2.25,0.75,2.75,Spring,2012
CS 4001,3.356666667,60.33333333,21.33333333,7.666666667,2,5,3.666666667,Spring,2013
CS 4001,3.13,36.5,39.75,18,1.5,0.75,3.5,Summer,2008
CS 4001,3.518,62,27,7.4,0,1.2,2.4,Summer,2009
CS 4001,3.532,63,29,6,0.6,1,0.4,Summer,2010
CS 4001,3.75,76,20.25,0.75,0.75,0,2.25,Summer,2011
CS 4001,3.686666667,77,17.66666667,3.666666667,0,1.666666667,0,Summer,2012
CS 4001,3.72,79.66666667,10,6.333333333,0,1,2,Summer,2013
CS 4002,3.37,53,24,6,3,3,12,Spring,2008
CS 4002,3.58,57,23,7,0,0,13,Spring,2010
CS 4002,3.53,63,25,3,0,3,6,Spring,2011
CS 4002,3.07,52,19,6,0,13,6,Spring,2013
CS 4777,2.5,33,25,17,8,17,0,Fall,2008
CS 4777,4,83,0,0,0,0,17,Fall,2009
CS 4777,2.75,25,50,0,25,0,0,Fall,2010
CS 4777,4,75,0,0,0,0,25,Fall,2012
CS 4770,3.56,56,44,0,0,0,0,Spring,2009
CS 4770,3.4,40,60,0,0,0,0,Spring,2011
CS 4770,2.75,33,17,0,0,17,33,Spring,2012
CS 4770,4,100,0,0,0,0,0,Spring,2013
CS 4635,3.43,56,25,0,0,6,13,Fall,2008
CS 4635,3.22,45,17,10,3,3,21,Fall,2009
CS 4635,3.54,55,23,3,3,0,16,Fall,2010
CS 4635,3,38,27,11,5,5,14,Fall,2011
CS 4635,3.32,54,15,10,8,0,13,Fall,2012
CS 2316,2.945,30,45.5,10.75,5.5,4.5,3.5,Fall,2011
CS 2316,2.95,24.8,42.6,15.8,2.4,2.4,10.4,Fall,2012
CS 2316,2.8975,27.25,40.25,18.5,6,2,6,Spring,2012
CS 2316,2.984,41,26.2,14.2,7.4,4.2,5.8,Spring,2013
CS 2316,2.875,32,38.5,15,14.5,0,0,Summer,2011
CS 2316,2.976666667,40,27,19.66666667,6,3.333333333,4.333333333,Summer,2013
CS 4460,3,0,100,0,0,0,0,Fall,2010
CS 4460,3.21,36,38,17,0,0,7,Fall,2012
CS 4460,2.4,6,44,17,11,6,6,Spring,2009
CS 4460,1.9,5,32,23,23,14,5,Spring,2010
CS 4460,2.67,23,25,45,5,0,0,Spring,2011
CS 4460,3.46,47,40,5,0,0,5,Spring,2012
CS 4460,3.33,39,55,6,0,0,0,Summer,2011
CS 4464,3.39,37,58,0,0,0,5,Spring,2010
CS 4464,3.35,58,23,15,4,0,0,Spring,2012
CS 4464,3.72,72,28,0,0,0,0,Summer,2013
CS 4251,3.83,59,12,0,0,0,6,Fall,2008
CS 4251,3.75,64,21,0,0,0,0,Spring,2008
CS 4251,3.63,65,24,6,0,0,6,Spring,2011
CS 4251,3.16,30,50,15,0,0,5,Spring,2012
CS 4251,3.41,50,33,11,0,0,6,Spring,2013
CS 4392,3.6,50,33,0,0,0,0,Fall,2009
CS 4255,3.67,67,33,0,0,0,0,Spring,2009
CS 4540,3.5,57,7,0,0,7,21,Fall,2009
CS 4540,3.63,65,24,6,0,0,6,Fall,2010
CS 4540,3.5,56,38,6,0,0,0,Fall,2011
CS 4540,3.16,37,30,13,0,3,7,Fall,2012
CS 4540,4,100,0,0,0,0,0,Spring,2013
CS 4605,3.63,53,32,0,0,0,16,Fall,2008
CS 4605,3.45,48,43,5,0,0,0,Fall,2009
CS 4605,3.39,44,50,6,0,0,0,Fall,2010
CS 4605,3.68,67,19,5,0,0,10,Fall,2011
CS 4605,3.62,69,23,8,0,0,0,Spring,2013
CS 3651,3.73,56,6,6,0,0,31,Spring,2009
CS 3651,3.69,73,23,4,0,0,0,Spring,2010
CS 3651,3.86,86,14,0,0,0,0,Spring,2011
CS 3651,3.5,62,10,17,0,0,10,Spring,2012
CS 3651,3.48,61,29,6,3,0,0,Spring,2013
CS 3651,3.86,86,14,0,0,0,0,Summer,2010
CS 3651,3.25,63,13,13,13,0,0,Summer,2012
CS 3651,3.67,67,33,0,0,0,0,Summer,2013
CS 3650,4,92,0,0,0,0,8,Spring,2008
CS 1050,3.17,47,31,10,5,4,4,Fall,2008
CS 1050,2.75,28.75,34.5,17,7.5,6.5,5.5,Fall,2009
CS 1050,2.64,24.5,31.75,24.25,8.5,5.75,5,Fall,2010
CS 1050,3.0825,42,24.75,13.5,3,4.5,12,Spring,2008
CS 1050,3.06,32.33333333,32.66666667,17.33333333,1.333333333,3,14,Spring,2009
CS 1050,2.625,19.25,37.25,27.5,9.75,2.5,3.75,Spring,2010
CS 1050,2.7575,24.25,36.75,24.75,9,1.5,4.25,Spring,2011
CS 1050,3.3,41,35,14,0,0,10,Summer,2009
CS 1050,3.11,36,33,18,0,3,10,Summer,2010
CS 3300,3.52,56,40,4,0,0,0,Fall,2008
CS 3300,3.59,59,41,0,0,0,0,Fall,2009
CS 3300,3.03,29,52,6,10,0,3,Fall,2010
CS 3300,4,100,0,0,0,0,0,Fall,2011
CS 3300,3.14,31,49,18,0,0,2,Spring,2008
CS 3300,3,19,52,19,0,0,10,Spring,2009
CS 3300,3.18,39,33,22,0,0,6,Spring,2010
CS 3300,3.38,68,14,5,0,9,5,Spring,2012
CS 3300,4,100,0,0,0,0,0,Summer,2008
CS 3300,3.91,77,8,0,0,0,15,Summer,2012
CS 4470,2.38,20,30,0,20,10,20,Fall,2008
CS 4470,4,100,0,0,0,0,0,Fall,2009
CS 4470,3.29,44,11,22,0,0,22,Fall,2010
CS 4470,3,40,20,7,7,7,7,Fall,2011
CS 4470,2.75,46,23,0,0,23,8,Fall,2012
CS 4472,3.64,64,36,0,0,0,0,Spring,2010
CS 4472,3.5,50,25,8,0,0,17,Spring,2011
CS 4472,4,85,0,0,0,0,15,Spring,2012
CS 4472,3.77,77,23,0,0,0,0,Spring,2013
CS 4475,3.95,95,5,0,0,0,0,Spring,2011
CS 4475,3.43,45,48,0,2,0,5,Spring,2013
CS 4475,3.69,69,31,0,0,0,0,Summer,2009
CS 4475,3.55,57,40,2,0,0,0,Summer,2010
CS 4475,3.98,98,2,0,0,0,0,Summer,2011
CS 4475,3.8,83,8.5,1.5,0,1.5,3.5,Summer,2012
CS 4475,3.445,65,23.5,7,0,4.5,0,Summer,2013
CS 4261,3.29,50,29,21,0,0,0,Fall,2009
CS 4261,3.65,64,27,3,0,0,6,Fall,2010
CS 4261,3.8,78,20,0,0,0,2,Fall,2011
CS 4261,3.85,82,14,0,0,0,4,Fall,2012
CS 4261,3.87,79,6,3,0,0,12,Spring,2012
CS 4261,3.63,59,35,0,0,0,3,Spring,2013
CS 4261,3.86,86,14,0,0,0,0,Summer,2013
CS 4752,3.13,39,33,11,0,6,0,Spring,2009
CS 4752,2.79,17,48,9,0,9,13,Spring,2011
CS 4752,3.32,45,32,5,0,5,5,Spring,2013
CS 4590,3.39,50,39,11,0,0,0,Spring,2009
CS 4590,3.67,72,20,2,0,2,0,Spring,2010
CS 4590,3.69,74,16,7,0,0,0,Spring,2011
CS 4590,3.55,64,27,5,0,2,2,Spring,2012
CS 4590,2.8,27,32,15,2,8,12,Spring,2013
CS 4590,3.73,70,26,0,0,0,0,Summer,2012
CS 4590,3.19,42.5,37,6,3,3,9,Summer,2013
CS 3251,2.96,32,36,14,2,6,6,Fall,2008
CS 3251,2.96,29,33,33,0,0,6,Fall,2009
CS 3251,2.865,39,17,35.5,3.5,3.5,1,Fall,2010
CS 3251,3.485,54.5,33.5,7.5,0,0,4,Fall,2011
CS 3251,2.98,33,28,19,8,0,11,Fall,2012
CS 3251,2.95,36,24,22,9,0,4,Spring,2008
CS 3251,3.565,74,16.5,3.5,2,3.5,1,Spring,2009
CS 3251,3.665,76,9.5,6,0,2,6.5,Spring,2010
CS 3251,3.455,52,40,4,1.5,0,2.5,Spring,2011
CS 3251,3.13,48.5,14,32,0,0.5,4.5,Spring,2012
CS 3251,3.73,80.5,13.5,4,0,1,0.5,Spring,2013
CS 3251,4,100,0,0,0,0,0,Summer,2008
CS 3251,3,40,20,40,0,0,0,Summer,2009
CS 3251,4,100,0,0,0,0,0,Summer,2010
CS 3251,3,27,36,0,0,9,27,Summer,2011
CS 4616,3.25,52,21,0,0,10,10,Fall,2008
CS 2335,3.55,55,45,0,0,0,0,Spring,2008
CS 2335,3.73,57,21,0,0,0,21,Spring,2009
CS 2335,3.83,83,17,0,0,0,0,Spring,2010
CS 4440,3.57,61,21,9,0,0,3,Fall,2008
CS 4440,3.71,74,13,0,4,0,4,Fall,2009
CS 4440,3.84,70,13,0,0,0,7,Fall,2010
CS 4440,3.42,43,49,3,0,0,3,Fall,2011
CS 4440,3.88,85,11,0,0,0,4,Fall,2012
CS 3790,2.94,38,29,15,6,6,3,Fall,2008
CS 3790,3.37,51,36,9,0,2,2,Fall,2009
CS 3790,3.48,48,42,3,0,0,6,Fall,2010
CS 3790,2.89,18,55,16,3,3,6,Fall,2011
CS 3790,3.54,62,28,6,0,1,3,Fall,2012
CS 3790,2.9,36,33,14,5,7,5,Spring,2008
CS 3790,3.38,47,29,13,0,0,8,Spring,2009
CS 3790,3.53,67,23,7,3,0,0,Summer,2013
CS 4699,3.857142857,85.71428571,14.28571429,0,0,0,0,Fall,2008
CS 4699,3.898333333,86.11111111,9.722222222,0,0,0,0,Fall,2009
CS 4699,3.944666667,92.26666667,5.533333333,0,0,0,0,Fall,2010
CS 4699,3.780952381,79.04761905,20,0.952380952,0,0,0,Fall,2011
CS 4699,3.795454545,86.72727273,6.045454545,4.545454545,0,1.136363636,0,Fall,2012
CS 4699,3.818181818,81.81818182,18.18181818,0,0,0,0,Spring,2008
CS 4699,3.822631579,84.89473684,14.21052632,0,0,0.894736842,0,Spring,2009
CS 4699,3.973684211,97.36842105,2.631578947,0,0,0,0,Spring,2010
CS 4699,3.647058824,73.52941176,17.64705882,0,5.882352941,0,2.941176471,Spring,2011
CS 4699,3.764,85.6,3.6,4,4,0,0.8,Spring,2012
CS 4699,3.909090909,90.90909091,4.545454545,2.272727273,0,0,0,Spring,2013
CS 4699,3.981818182,98.18181818,1.818181818,0,0,0,0,Summer,2008
CS 4699,3.785714286,89.28571429,0,10.71428571,0,0,0,Summer,2009
CS 4699,4,100,0,0,0,0,0,Summer,2010
CS 4699,3.777777778,77.77777778,22.22222222,0,0,0,0,Summer,2011
CS 4699,3.769230769,84.61538462,7.692307692,7.692307692,0,0,0,Summer,2012
CS 4699,3.5,75,0,25,0,0,0,Summer,2013
CS 4270,4,95,0,0,0,0,5,Fall,2008
CS 4270,3.94,94,6,0,0,0,0,Fall,2010
CS 4270,3.8,80,20,0,0,0,0,Fall,2011
CS 4270,3.44,56,33,11,0,0,0,Fall,2012
CS 4270,3.92,92,3,3,0,0,3,Spring,2008
CS 4480,3.95,90,5,0,0,0,5,Fall,2008
CS 4480,3.73,76,22,2,0,0,0,Fall,2009
CS 4480,3.72,81,14,2,0,2,0,Fall,2010
CS 4480,3.42,53,38,7,2,0,0,Fall,2011
CS 3240,2.73,40,23,21,4,13,0,Fall,2008
CS 3240,2.84,30,24,26,6,2,12,Fall,2009
CS 3240,2.78,27,34,24,5,5,5,Fall,2010
CS 3240,3.1,27,46,15,1,0,10,Fall,2011
CS 3240,2.96,26,48,17,3,3,4,Fall,2012
CS 3240,2.82,27,34,32,3,3,3,Spring,2008
CS 3240,2.67,18,35,25,7,3,11,Spring,2009
CS 3240,2.77,25,37,15,5,7,10,Spring,2010
CS 3240,2.74,23,35,20,6,5,11,Spring,2011
CS 3240,3,30,48,12,3,4,3,Spring,2012
CS 3240,3.04,34,41,12,5,3,5,Spring,2013
CS 3240,3.29,48,30,4,4,4,11,Summer,2008
CS 3240,2.95,38,33,5,5,10,10,Summer,2009
CS 4210,3,0,100,0,0,0,0,Fall,2009
CS 4210,3.75,50,17,0,0,0,33,Fall,2011
CS 4210,3,0,100,0,0,0,0,Fall,2012
CS 4210,2.97,33,19,12,5,5,0,Spring,2008
CS 4210,2.25,25,0,50,25,0,0,Spring,2009
CS 4290,3,36,18,36,0,0,9,Fall,2009
CS 4290,2.94,41,18,24,12,0,6,Fall,2010
CS 4290,3.14,47,20,20,7,0,7,Fall,2011
CS 4290,3.435,34,22.5,0,0,3,34.5,Fall,2012
CS 4290,2.8,29,14,14,14,0,29,Spring,2009
CS 4290,3.64,54,31,0,0,0,15,Spring,2010
CS 4290,3.11,40,20,30,0,0,10,Spring,2011
CS 4290,3.04,23,45,7.5,6,0,18.5,Spring,2012
CS 4290,2.405,36.5,19.5,6.5,1.5,28,8,Spring,2013
CS 4290,1.67,25,0,0,25,25,25,Summer,2013
CS 3630,3.34,42,42,10,0,0,6,Spring,2008
CS 3630,3.61,68,26,6,0,0,0,Spring,2009
CS 3630,3.34,48,23,18,0,0,13,Spring,2010
CS 3630,3.17,27,57,10,0,0,6,Spring,2011
CS 3630,3.31,36,40,10,0,0,14,Spring,2012
CS 3630,3.3,45,34,14,2,0,5,Spring,2013
CS 4690,4,100,0,0,0,0,0,Fall,2009
CS 4690,3.24,39,43,4,0,4,4,Spring,2008
CS 4690,3,25,50,0,13,0,13,Spring,2009
CS 4510,3.24,38,33,5,0,5,19,Spring,2008
CS 4510,3.17,45,25,15,0,5,10,Spring,2010
CS 4510,3.18,46,24,14,0,5,11,Spring,2011
CS 4510,2.77,27,35,31,4,4,0,Spring,2012
CS 4510,3.16,54,15,19,4,4,4,Spring,2013
CS 1331,2.35,23.5,26.75,22.5,10,14.75,3.5,Fall,2008
CS 1331,2.4375,22,32,20.75,4,15.25,5.5,Fall,2009
CS 1331,2.406,21.4,31.2,19.2,10.8,13,3.8,Fall,2010
CS 1331,2.663333333,32.33333333,28.33333333,15.66666667,6.833333333,11.33333333,5.166666667,Fall,2011
CS 1331,2.86375,33.125,33,15.25,9.125,4.25,4.875,Fall,2012
CS 1331,2.8175,31.75,29.25,18.5,8.5,4.5,7.75,Spring,2008
CS 1331,2.464,22.4,31.6,22.6,7.4,12,3.8,Spring,2009
CS 1331,2.381666667,16.16666667,33.33333333,25.83333333,11.66666667,8.333333333,4.666666667,Spring,2010
CS 1331,2.595,19.5,35.5,26.83333333,9.5,4,5,Spring,2011
CS 1331,2.836666667,25.16666667,41.83333333,18.66666667,5.5,4,4.666666667,Spring,2012
CS 1331,2.8875,33.5,36,16,3.875,6.5,1.625,Spring,2013
CS 1331,2.72,27,29.5,24.5,9,3.5,7,Summer,2010
CS 1331,2.725,29,33.5,17,8.5,7,5.5,Summer,2011
CS 1331,2.78,28.5,35,21.5,7,5,3,Summer,2012
CS 1331,2.84,32.33333333,25,11,10.33333333,4.666666667,15.66666667,Summer,2013
CS 1332,2.61,25.33333333,31.33333333,22,5,10,6.666666667,Fall,2008
CS 1332,3.236666667,50,23.66666667,8.666666667,2,5.666666667,9.666666667,Fall,2009
CS 1332,2.8925,25.25,39.5,14.5,4,3.75,13.5,Fall,2010
CS 1332,3.275,50,20.25,11,4.5,1.5,12.25,Fall,2011
CS 1332,2.814,34,25.2,20.2,9,4.8,6.6,Fall,2012
CS 1332,2.38,27,14,11.5,11.5,13.5,23,Spring,2008
CS 1332,2.426666667,27.66666667,15.66666667,14,7,15,20,Spring,2009
CS 1332,2.6,30.66666667,19.33333333,24.66666667,7.333333333,10,8.333333333,Spring,2010
CS 1332,2.9725,36.25,31.75,14.75,6.75,3.75,6.75,Spring,2011
CS 1332,3.02,43.25,22,15.5,5.5,4.5,9,Spring,2012
CS 1332,2.508,26.6,25.2,20.2,12,9.6,6.4,Spring,2013
CS 1332,2.97,37,29,17,3,6,9,Summer,2009
CS 1332,3.33,43,27,4.5,1,4.5,19.5,Summer,2010
CS 1332,2.585,22,33,16,13.5,5.5,9.5,Summer,2011
CS 1332,3.29,54.5,32.5,6,1,6,0,Summer,2012
CS 1332,2.77,35.33333333,15,16,13.33333333,4,16.33333333,Summer,2013
CS 4455,3.86,86,5,5,0,0,5,Fall,2008
CS 4455,3.08,37,33,15,7,0,7,Fall,2009
CS 4455,3.78,80,18,2,0,0,0,Fall,2010
CS 4455,3.79,79,17,2,0,0,2,Fall,2011
CS 4455,3.74,68,18,3,0,0,11,Fall,2012
CS 4455,3.37,48,29,14,0,0,10,Spring,2008
CS 4455,3.3,57,27,11,0,5,0,Spring,2009
CS 4455,3.7,79,18,0,0,3,0,Spring,2010
CS 4455,3.6,67,27,7,0,0,0,Spring,2012
CS 4455,3.81,72,17,0,0,0,6,Summer,2008
CS 4455,3.83,83,17,0,0,0,0,Summer,2009
CS 4455,3.63,63,38,0,0,0,0,Summer,2010
CS 4455,3.71,75,21,4,0,0,0,Summer,2011
CS 4455,3.67,67,33,0,0,0,0,Summer,2012
CS 4455,3.92,80,7,0,0,0,13,Summer,2013
CS 2804,3.86,81,11,1.5,0,0,5.5,Fall,2012
CS 2804,3.4,53,16,5,0,5,5,Spring,2013
CS 2804,3.9,77.5,10,0,0,0,12.5,Summer,2012
CS 2803,2.96,48,20,16,0,12,4,Summer,2011
CS 2803,3.52,71,19,5,0,5,0,Summer,2012
CS 2803,3.93,88,6,0,0,0,0,Summer,2013
CS 4365,4,75,0,0,0,0,13,Spring,2008
CS 4365,4,93,0,0,0,0,7,Spring,2009
CS 4365,3.94,85,5,0,0,0,0,Spring,2010
CS 4365,3.73,88,4,4,0,4,0,Spring,2011
CS 4365,3.3,46,15,8,8,0,23,Spring,2012
CS 4365,3.78,54,15,0,0,0,15,Spring,2013
CS 2801,3.79,76,19,0,0,0,5,Fall,2009
CS 2801,3.455,48,22,15.75,0,0,14.5,Fall,2010
CS 2801,3.74,76,8,8,0,0,8,Fall,2011
CS 2801,4,89,0,0,0,0,11,Fall,2012
CS 2801,3.46,50,46,4.333333333,0,0,0,Spring,2010
CS 2801,3.8275,82.25,14,1.25,0,0,2.25,Spring,2011
CS 2801,3.89,89,11,0,0,0,0,Spring,2012
CS 2801,4,95,0,0,0,0,5,Spring,2013
CS 2801,3.29,71,14,0,0,14,0,Summer,2011
CS 2801,4,100,0,0,0,0,0,Summer,2012
CS 4220,4,100,0,0,0,0,0,Fall,2008
CS 4220,3,0,50,0,0,0,0,Fall,2009
CS 4220,2,40,0,0,0,40,20,Fall,2010
CS 4220,4,75,0,0,0,0,25,Fall,2011
CS 4220,1.33,33,0,0,0,67,0,Fall,2012
CS 4731,3.11,33,56,0,11,0,0,Fall,2008
CS 4731,3.75,67,22,0,0,0,0,Spring,2010
CS 4731,2.89,44,22,22,0,11,0,Spring,2011
CS 4731,3.25,41,41,6,6,0,6,Spring,2012
CS 4731,2.81,43,18,14,7,11,7,Spring,2013
CS 4731,3.14,30,20,20,0,0,30,Summer,2012
CS 4731,4,88,0,0,0,0,13,Summer,2013
CS 4225,3.5,58,0,0,0,8,33,Spring,2009
CS 4225,3.56,52,29,5,0,0,14,Spring,2010
CS 4225,3.13,33,33,22,0,0,11,Spring,2011
CS 4225,3.67,53,12,6,0,0,29,Spring,2012
CS 4225,2.92,31,19,13,13,0,25,Spring,2013
CS 2200,2.49,23,23,21,8,9,16,Fall,2008
CS 2200,2.51,20,18,39,3,6,14,Fall,2009
CS 2200,2.74,27,25,15,10,5,18,Fall,2010
CS 2200,2.92,32,37,20,4,4,4,Fall,2011
CS 2200,2.67,27,23,35,6,4,5,Fall,2012
CS 2200,3.11,41,23,16,8,0,13,Spring,2008
CS 2200,2.845,31.5,26.5,21.5,6,4,10.5,Spring,2009
CS 2200,2.89,29,32,18,1,6,13,Spring,2010
CS 2200,2.85,33,26.5,17.5,8,4,10,Spring,2011
CS 2200,3.01,38,29,20,5,2,5,Spring,2012
CS 2200,2.82,28,37,17,5,6,7,Spring,2013
CS 2200,2.56,16,26,35,10,0,13,Summer,2008
CS 2200,2.85,26,29,19,10,0,16,Summer,2009
CS 2200,2.35,13,26,29,10,6,16,Summer,2010
CS 2200,2.88,30,25,23,5,3,15,Summer,2011
CS 2200,2.84,25,36,21,4,4,11,Summer,2012
CS 2200,2.8,42,11,20,7,9,11,Summer,2013
CS 3743,4,100,0,0,0,0,0,Fall,2012
CS 4649,3.67,57,29,0,0,0,14,Fall,2011
CS 4649,3.38,50,38,13,0,0,0,Fall,2012
CS 2699,3.5,50,50,0,0,0,0,Fall,2008
CS 2699,4,100,0,0,0,0,0,Fall,2009
CS 2699,3.5,75,0,25,0,0,0,Fall,2010
CS 2699,3.75,75,25,0,0,0,0,Fall,2011
CS 2699,3.666666667,66.66666667,33.33333333,0,0,0,0,Fall,2012
CS 2699,3,50,0,50,0,0,0,Spring,2008
CS 2699,3.8325,91.75,0,8.25,0,0,0,Spring,2009
CS 2699,3.875,87.5,12.5,0,0,0,0,Spring,2010
CS 2699,3.9,90,10,0,0,0,0,Spring,2011
CS 2699,4,100,0,0,0,0,0,Spring,2012
CS 2699,4,100,0,0,0,0,0,Spring,2013
CS 2699,3,0,100,0,0,0,0,Summer,2008
CS 2699,4,100,0,0,0,0,0,Summer,2009
CS 2699,3.8,80,20,0,0,0,0,Summer,2010
CS 2699,4,100,0,0,0,0,0,Summer,2011
CS 2699,4,100,0,0,0,0,0,Summer,2013
CS 4911,3.843333333,83.33333333,15.66666667,0,0,0,1,Fall,2008
CS 4911,3.51,65.5,27,3.5,0,3.5,0,Fall,2009
