course,GPA,A,B,C,D,F,W,semester,year
MATH 2605,2.64 ,22.50 ,26.25 ,25.50 ,6.75 ,5.00 ,14.50 ,Fall,2008
MATH 2605,2.27 ,14.75 ,23.25 ,26.50 ,15.00 ,7.25 ,13.50 ,Fall,2009
MATH 2605,2.17 ,15.00 ,18.25 ,22.00 ,10.75 ,12.75 ,22.00 ,Fall,2010
MATH 2605,2.85 ,35.25 ,18.50 ,30.75 ,3.75 ,3.50 ,9.00 ,Fall,2011
MATH 2605,2.50 ,18.75 ,31.25 ,18.50 ,13.25 ,6.00 ,13.00 ,Fall,2012
MATH 2605,2.64 ,31.75 ,20.25 ,22.25 ,8.00 ,9.00 ,8.50 ,Spring,2008
MATH 2605,2.88 ,28.75 ,32.75 ,10.50 ,6.50 ,5.50 ,16.50 ,Spring,2009
MATH 2605,2.13 ,12.50 ,20.25 ,25.25 ,13.25 ,10.50 ,18.25 ,Spring,2010
MATH 2605,2.20 ,14.75 ,21.50 ,24.00 ,11.25 ,11.00 ,17.75 ,Spring,2011
MATH 2605,2.60 ,28.50 ,21.25 ,20.50 ,12.75 ,5.75 ,12.00 ,Spring,2012
MATH 2605,2.67 ,29.50 ,28.00 ,16.50 ,7.17 ,9.67 ,9.50 ,Spring,2013
MATH 2605,2.31 ,12.00 ,29.00 ,18.00 ,6.00 ,12.00 ,24.00 ,Summer,2008
MATH 2605,2.50 ,19.00 ,24.00 ,29.00 ,10.00 ,5.00 ,14.00 ,Summer,2009
MATH 2605,2.56 ,25.00 ,17.00 ,17.00 ,8.00 ,8.00 ,25.00 ,Summer,2010
MATH 2605,2.03 ,16.00 ,28.00 ,9.00 ,19.00 ,19.00 ,9.00 ,Summer,2011
MATH 2605,3.00 ,21.00 ,57.00 ,7.00 ,7.00 ,0.00 ,7.00 ,Summer,2012
MATH 2605,2.88 ,39.00 ,18.00 ,25.00 ,7.00 ,4.00 ,7.00 ,Summer,2013
ECE 3903,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Fall,2011
ECE 3903,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Fall,2012
ECE 3903,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2009
ECE 3903,3.50 ,50.00 ,50.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2010
ECE 3903,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2011
ECE 3903,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2013
ECE 3903,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Summer,2011
ECE 3903,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Summer,2012
ECE 3903,3.67 ,66.67 ,16.67 ,0.00 ,0.00 ,0.00 ,0.00 ,Summer,2013
MATH 2602,2.77 ,26.33 ,32.00 ,26.50 ,8.50 ,1.67 ,4.83 ,Fall,2008
