course,semester,year,A,B,C,D,F,W,GPA
CS 3300,Spring,2008,31,49,18,0,0,2,3.14
CS 3300,Spring,2009,19,52,19,0,0,10,3
CS 3300,Spring,2010,39,33,22,0,0,6,3.18
CS 3300,Spring,2012,68,14,5,0,9,5,3.38
CS 3300,Summer,2008,100,0,0,0,0,0,4
CS 3300,Summer,2012,77,8,0,0,0,15,3.91
CS 4470,Fall,2008,20,30,0,20,10,20,2.38
CS 4470,Fall,2009,100,0,0,0,0,0,4
CS 4470,Fall,2010,44,11,22,0,0,22,3.29
CS 4470,Fall,2011,40,20,7,7,7,7,3
CS 4470,Fall,2012,46,23,0,0,23,8,2.75
CS 4472,Spring,2010,64,36,0,0,0,0,3.64
CS 4472,Spring,2011,50,25,8,0,0,17,3.5
CS 4472,Spring,2012,85,0,0,0,0,15,4
CS 4472,Spring,2013,77,23,0,0,0,0,3.77
CS 4475,Spring,2011,95,5,0,0,0,0,3.95
CS 4475,Spring,2013,45,48,0,2,0,5,3.43
CS 4475,Summer,2009,69,31,0,0,0,0,3.69
CS 4475,Summer,2010,57,40,2,0,0,0,3.55
CS 4475,Summer,2011,98,2,0,0,0,0,3.98
CS 4475,Summer,2012,83,8.5,1.5,0,1.5,3.5,3.8
CS 4475,Summer,2013,65,23.5,7,0,4.5,0,3.445
CS 4261,Fall,2009,50,29,21,0,0,0,3.29
CS 4261,Fall,2010,64,27,3,0,0,6,3.65
CS 4261,Fall,2011,78,20,0,0,0,2,3.8
CS 4261,Fall,2012,82,14,0,0,0,4,3.85
CS 4261,Spring,2012,79,6,3,0,0,12,3.87
CS 4261,Spring,2013,59,35,0,0,0,3,3.63
CS 4261,Summer,2013,86,14,0,0,0,0,3.86
CS 4752,Spring,2009,39,33,11,0,6,0,3.13
CS 4752,Spring,2011,17,48,9,0,9,13,2.79
CS 4752,Spring,2013,45,32,5,0,5,5,3.32
CS 4590,Spring,2009,50,39,11,0,0,0,3.39
CS 4590,Spring,2010,72,20,2,0,2,0,3.67
CS 4590,Spring,2011,74,16,7,0,0,0,3.69
CS 4590,Spring,2012,64,27,5,0,2,2,3.55
CS 4590,Spring,2013,27,32,15,2,8,12,2.8
CS 4590,Summer,2012,70,26,0,0,0,0,3.73
CS 4590,Summer,2013,42.5,37,6,3,3,9,3.19
CS 3251,Fall,2008,32,36,14,2,6,6,2.96
CS 3251,Fall,2009,29,33,33,0,0,6,2.96
CS 3251,Fall,2010,39,17,35.5,3.5,3.5,1,2.865
CS 3251,Fall,2011,54.5,33.5,7.5,0,0,4,3.485
CS 3251,Fall,2012,33,28,19,8,0,11,2.98
CS 3251,Spring,2008,36,24,22,9,0,4,2.95
CS 3251,Spring,2009,74,16.5,3.5,2,3.5,1,3.565
CS 3251,Spring,2010,76,9.5,6,0,2,6.5,3.665
CS 3251,Spring,2011,52,40,4,1.5,0,2.5,3.455
CS 3251,Spring,2012,48.5,14,32,0,0.5,4.5,3.13
CS 3251,Spring,2013,80.5,13.5,4,0,1,0.5,3.73
CS 3251,Summer,2008,100,0,0,0,0,0,4
CS 3251,Summer,2009,40,20,40,0,0,0,3
CS 3251,Summer,2010,100,0,0,0,0,0,4
CS 3251,Summer,2011,27,36,0,0,9,27,3
CS 4616,Fall,2008,52,21,0,0,10,10,3.25
CS 2335,Spring,2008,55,45,0,0,0,0,3.55
CS 2335,Spring,2009,57,21,0,0,0,21,3.73
CS 2335,Spring,2010,83,17,0,0,0,0,3.83
CS 4440,Fall,2008,61,21,9,0,0,3,3.57
CS 4440,Fall,2009,74,13,0,4,0,4,3.71
CS 4440,Fall,2010,70,13,0,0,0,7,3.84
CS 4440,Fall,2011,43,49,3,0,0,3,3.42
CS 4440,Fall,2012,85,11,0,0,0,4,3.88
CS 3790,Fall,2008,38,29,15,6,6,3,2.94
CS 3790,Fall,2009,51,36,9,0,2,2,3.37
CS 3790,Fall,2010,48,42,3,0,0,6,3.48
CS 3790,Fall,2011,18,55,16,3,3,6,2.89
CS 3790,Fall,2012,62,28,6,0,1,3,3.54
CS 3790,Spring,2008,36,33,14,5,7,5,2.9
CS 3790,Spring,2009,47,29,13,0,0,8,3.38
CS 3790,Summer,2013,67,23,7,3,0,0,3.53
CS 4699,Fall,2008,85.71428571,14.28571429,0,0,0,0,3.857142857
CS 4699,Fall,2009,86.11111111,9.722222222,0,0,0,0,3.898333333
CS 4699,Fall,2010,92.26666667,5.533333333,0,0,0,0,3.944666667
CS 4699,Fall,2011,79.04761905,20,0.952380952,0,0,0,3.780952381
CS 4699,Fall,2012,86.72727273,6.045454545,4.545454545,0,1.136363636,0,3.795454545
CS 4699,Spring,2008,81.81818182,18.18181818,0,0,0,0,3.818181818
CS 4699,Spring,2009,84.89473684,14.21052632,0,0,0.894736842,0,3.822631579
CS 4699,Spring,2010,97.36842105,2.631578947,0,0,0,0,3.973684211
CS 4699,Spring,2011,73.52941176,17.64705882,0,5.882352941,0,2.941176471,3.647058824
CS 4699,Spring,2012,85.6,3.6,4,4,0,0.8,3.764
CS 4699,Spring,2013,90.90909091,4.545454545,2.272727273,0,0,0,3.909090909
CS 4699,Summer,2008,98.18181818,1.818181818,0,0,0,0,3.981818182
CS 4699,Summer,2009,89.28571429,0,10.71428571,0,0,0,3.785714286
CS 4699,Summer,2010,100,0,0,0,0,0,4
CS 4699,Summer,2011,77.77777778,22.22222222,0,0,0,0,3.777777778
CS 4699,Summer,2012,84.61538462,7.692307692,7.692307692,0,0,0,3.769230769
