Course,Year,GPA
CSE 6230,2008.0,3.94
CSE 6230,2009.0,4.0
CSE 6230,2010.0,3.975
CSE 6230,2011.0,3.26
CSE 6230,2012.0,3.45
CS 6365,2012.0,3.83
CS 6365,2013.0,3.83
CS 8903,1999.0,3.877692307692309
CS 8903,2000.0,3.9544036697247713
CS 8903,2001.0,3.904444444444445
CS 8903,2002.0,3.9213286713286704
CS 8903,2003.0,3.8992063492063496
CS 8903,2004.0,3.950441176470589
CS 8903,2005.0,3.935833333333333
CS 8903,2006.0,3.9773793103448276
CS 8903,2007.0,3.9325668449197853
CS 8903,2008.0,3.903781094527363
CS 8903,2009.0,3.9114594594594596
CS 8903,2010.0,3.9130201342281876
CS 8903,2011.0,3.9262142857142863
CS 8903,2012.0,3.920000000000001
CS 8903,2013.0,3.933333333333333
CS 6675,2012.0,3.9
CS 6675,2013.0,3.93
CS 4460,2009.0,2.4
CS 4460,2010.0,2.45
CS 4460,2011.0,3.0
CS 4460,2012.0,3.335
CS 3901,1999.0,3.82
CS 3901,2000.0,3.89
CS 3901,2001.0,3.811
CS 3901,2002.0,3.897936507936508
CS 3901,2003.0,3.918571428571428
CS 3901,2004.0,3.8424999999999994
CS 3901,2005.0,3.810344827586207
CS 3903,2002.0,4.0
CS 3903,2003.0,3.75
CS 3902,2000.0,3.735
CS 3902,2001.0,4.0
CS 3902,2002.0,3.772727272727273
CS 3902,2003.0,3.75
CS 7290,2012.0,3.71
CS 7290,2013.0,3.92
CS 4251,1999.0,3.08
CS 4251,2000.0,3.26
CS 4251,2001.0,3.04
CS 4251,2002.0,3.2249999999999996
CS 4251,2003.0,3.2199999999999998
CS 4251,2004.0,2.925
CS 4251,2005.0,3.215
CS 4251,2006.0,3.19
CS 4251,2008.0,3.79
CS 4251,2011.0,3.63
CS 4251,2012.0,3.16
CS 4251,2013.0,3.41
CS 4392,2007.0,4.0
CS 4392,2009.0,3.6
CS 7650,2008.0,4.0
CS 7650,2010.0,3.705
CS 7650,2012.0,3.36
CS 7650,2013.0,3.62
CS 4255,2001.0,3.745
CS 4255,2002.0,3.23
CS 4255,2004.0,3.59
CS 4255,2005.0,3.64
CS 4255,2006.0,3.615
CS 4255,2009.0,3.67
CS 6230,2000.0,3.61
CS 6230,2001.0,3.67
CS 6230,2002.0,3.76
CS 6230,2003.0,3.65
CS 6230,2005.0,3.78
CS 6230,2006.0,3.58
CS 6230,2007.0,3.56
CS 6230,2008.0,3.53
CS 6230,2010.0,4.0
CS 4010,2000.0,3.33
CS 4010,2001.0,3.46
CS 4010,2002.0,3.39
CS 4010,2003.0,3.54
CS 6455,2000.0,3.85
CS 6455,2001.0,3.79
CS 6455,2002.0,3.87
CS 6455,2003.0,3.84
CS 6455,2005.0,3.56
CS 6455,2006.0,3.71
CS 6455,2008.0,3.59
CS 6455,2009.0,3.86
CS 6455,2011.0,3.96
CS 6455,2012.0,3.92
CS 4540,2009.0,3.5
CS 4540,2010.0,3.63
CS 4540,2011.0,3.5
CS 4540,2012.0,3.16
CS 4540,2013.0,4.0
CS 6421,2000.0,4.0
CS 6421,2002.0,3.58
CS 6250,1999.0,3.44
CS 6250,2000.0,3.39
CS 6250,2001.0,3.25
CS 6250,2002.0,3.67
CS 6250,2003.0,3.46
CS 6250,2004.0,3.39
CS 6250,2005.0,3.815
CS 6250,2006.0,3.56
CS 6250,2007.0,3.7
CS 6250,2008.0,3.8
CS 6250,2009.0,3.81
CS 6250,2010.0,3.74
CS 6250,2011.0,3.33
CS 6250,2012.0,4.0
CS 6250,2013.0,3.9966666666666666
CS 8803,1999.0,3.72
CS 8803,2000.0,3.735
CS 8803,2001.0,3.712727272727273
CS 8803,2002.0,3.6768181818181804
CS 8803,2003.0,3.69625
CS 8803,2004.0,3.7929411764705883
CS 8803,2005.0,3.8236363636363633
CS 8803,2006.0,3.7840000000000003
CS 8803,2007.0,3.7442857142857133
CS 8803,2008.0,3.7899999999999987
CS 8803,2009.0,3.811388888888889
CS 8803,2010.0,3.7797872340425527
CS 8803,2011.0,3.8117647058823527
CS 8803,2012.0,3.8176923076923086
CS 8803,2013.0,3.917857142857143
CS 6255,2001.0,3.85
CS 6255,2003.0,3.76
CS 6255,2004.0,4.0
CS 6255,2005.0,3.8899999999999997
CS 6255,2006.0,3.58
CS 6255,2007.0,3.71
CS 6255,2009.0,3.93
CS 6763,2004.0,4.0
CS 6763,2012.0,3.95
CS 6763,2013.0,3.84
CS 4600,1999.0,2.66
CS 4600,2000.0,3.16
CS 4600,2001.0,3.52
CS 4600,2002.0,3.1
CS 4600,2003.0,2.9533333333333336
CS 4600,2004.0,3.2199999999999998
CS 3352,2000.0,3.9375
CS 3352,2001.0,4.0
CS 3352,2002.0,4.0
CS 4605,2006.0,3.5
